candidate_name,filer_url,filing_name,filing_url,date_filed,report_type,reporting_period,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,total_mcea_payments,return_of_mcea_funds,balance_beginning,balance_end,debt_balance,unitemized_total
Dexter 'Buzz' Bridges,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvvwpprek3b2x5fyxvmbmpb,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvvwpprek3b2x5fyxvmbmpb/filings/d_01kpc0710cfcq950y482pjavr3,,Mcea Seed Money,"Unbounded - April 17, 2026",$755.00,$755.00,$0.00,$755.00,,,$0.00,$0.00,$0.00,$0.00
Grayson Lookner,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhjx7vpfbktnqz3j3kj8jxw,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhjx7vpfbktnqz3j3kj8jxw/filings/d_01ksxer91ce1c9kk8bp09xx85g,,Mcea Campaign Finance,"May 09, 2026 - May 26, 2026",,,,$0.00,$666.00,$0.00,$9.00,$675.00,$0.00,
Grayson Lookner,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhjx7vpfbktnqz3j3kj8jxw,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhjx7vpfbktnqz3j3kj8jxw/filings/d_01kr478tmtfy8vhzn17kh0q3bv,,Mcea Seed Money,"Unbounded - May 08, 2026",$150.00,$150.00,$0.00,$141.00,,,$0.00,$9.00,$0.00,$0.00
Samuel Lewis Zager,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz91dadg8,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz91dadg8/filings/d_01ksfhaxz0fkcrmnkk9dwx160z,,Mcea Campaign Finance,"April 18, 2026 - May 26, 2026",,,,$25.15,$675.00,$0.00,$0.00,$649.85,"$1,070.00",
Samuel Lewis Zager,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz91dadg8,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz91dadg8/filings/d_01ksnwj8fqf40bxqg2x79vq8pw,,Mcea Seed Money,"Unbounded - April 17, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,"$1,070.00",$0.00
Samuel Lewis Zager,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz91dadg8,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz91dadg8/filings/d_01ksfhcsv7efxbaacvse5tvva4,,Mcea Seed Money,"Unbounded - April 17, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Samuel Lewis Zager,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz91dadg8,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz91dadg8/filings/d_01kp7691n2ff89dcme93zzas4e,,Mcea Seed Money,"Unbounded - April 17, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Daniel Sayre,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92/filings/d_01ksvenwzvew6st878x16459hr,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$994.41,"$2,650.00",$0.00,$0.00,"$1,655.59",$982.91,
Daniel Sayre,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92/filings/d_01ksvcvywmff2vj361v6wdr1xp,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$986.01,"$2,650.00",$0.00,$0.00,"$1,663.99",$982.91,
Daniel Sayre,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92/filings/d_01kpse5g1fek6b1gb8xn2r36hh,,Mcea Seed Money,"January 01, 2026 - April 21, 2026",$699.00,$699.00,$0.00,"$2,905.13",,,"$2,206.13",$0.00,$982.91,$0.00
Daniel Sayre,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92/filings/d_01kf4f3w4qe2jtscj5y4fq4tj6,,Campaign Finance,"November 01, 2025 - December 31, 2025","$2,301.00","$2,301.00",$0.00,$94.87,,,$0.00,"$2,206.13",$0.00,$0.00
Azalea Cormier,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcbzabeetvr2e4yqxtkcagb,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcbzabeetvr2e4yqxtkcagb/filings/d_01kstf73xme9z9abqfhz9t55qd,,Mcea Campaign Finance,"May 19, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Azalea Cormier,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcbzabeetvr2e4yqxtkcagb,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcbzabeetvr2e4yqxtkcagb/filings/d_01kry2jx2kfwg8acax35958ekh,,Mcea Seed Money,"Unbounded - May 18, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Jill C. Duson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9m0pf0tv,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9m0pf0tv/filings/d_01ksq9q4b6f9ttd3k0232fwzsh,,Mcea Campaign Finance,"April 29, 2026 - May 26, 2026",,,,$0.00,"$2,240.70",$0.00,$409.30,"$2,650.00",$0.00,
Jill C. Duson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9m0pf0tv,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9m0pf0tv/filings/d_01kq9zg25jfbqtbgeq5hqbcw3y,,Mcea Seed Money,"Unbounded - April 28, 2026","$1,840.00","$1,840.00",$0.00,"$1,430.70",,,$0.00,$409.30,$0.00,$440.00
Michael D. Perkins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807cwn1fsq,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807cwn1fsq/filings/d_01ksqf7bmqeet8xa9y6vkw0nx8,,Mcea Campaign Finance,"April 29, 2026 - May 26, 2026",,,,$600.00,$675.00,$0.00,$0.00,$75.00,$0.00,
Michael D. Perkins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807cwn1fsq,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807cwn1fsq/filings/d_01kqab8cdye8cag36t8cy18psg,,Mcea Seed Money,"Unbounded - April 28, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Flavia DeBrito,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khedptrpfj3t0r4arxww7sx2,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khedptrpfj3t0r4arxww7sx2/filings/d_01kt1shmptech9nmg4e79w182g,,Mcea Seed Money,"Unbounded - May 28, 2026",$423.00,$423.00,$0.00,$423.00,,,$0.00,$0.00,$347.69,$0.00
Flavia DeBrito,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khedptrpfj3t0r4arxww7sx2,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khedptrpfj3t0r4arxww7sx2/filings/d_01kstwj0g5fj9abpn1j6jta5x5,,Mcea Seed Money,"Unbounded - May 28, 2026",$423.00,$423.00,$0.00,$770.69,,,$0.00,,$0.00,$0.00
Flavia DeBrito,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khedptrpfj3t0r4arxww7sx2,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khedptrpfj3t0r4arxww7sx2/filings/d_01ksqzjw81ee1v3kgsce8gbt34,,Mcea Seed Money,"Unbounded - May 28, 2026",$398.00,$398.00,$0.00,$0.00,,,$0.00,$398.00,$0.00,$0.00
Trent Vellella,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvr3wwdetnsd0z1bcanzs1d,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvr3wwdetnsd0z1bcanzs1d/filings/d_01ksqwcw7ne53anhhwwxnsrrrr,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$670.18,$0.00,$4.82,$675.00,$360.00,
Trent Vellella,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvr3wwdetnsd0z1bcanzs1d,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvr3wwdetnsd0z1bcanzs1d/filings/d_01krkrg4qxfss8bzbrepwzbv5s,,Mcea Seed Money,"Unbounded - May 20, 2026","$1,000.00","$1,000.00",$0.00,$995.18,,,$0.00,$4.82,$360.00,$100.00
Kenneth Davis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx7f17bj4,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx7f17bj4/filings/d_01ksqfdd03e3pr3b1f2427mc65,,Mcea Campaign Finance,"April 14, 2026 - May 26, 2026",,,,"$11,474.45","$13,233.09",$0.00,$16.91,"$1,775.55",$0.00,
Kenneth Davis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx7f17bj4,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zx7f17bj4/filings/d_01kp3h2zcqerksrsxhxdt1qya7,,Mcea Seed Money,"Unbounded - April 13, 2026","$3,000.00","$3,000.00",$0.00,"$2,983.09",,,$0.00,$16.91,$0.00,$0.00
David Wayne Guilmette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caxv1fsas,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caxv1fsas/filings/d_01ksjtde1pfgttanq6e9j79w8w,,Mcea Campaign Finance,"April 11, 2026 - May 26, 2026",,,,$645.54,$660.72,$0.00,$14.28,$29.46,$0.00,
David Wayne Guilmette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caxv1fsas,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caxv1fsas/filings/d_01knsh8rpcfdkb789j6k9p0jzc,,Mcea Seed Money,"Unbounded - April 10, 2026",$920.00,$920.00,$0.00,$905.72,,,$0.00,$14.28,$0.00,$100.00
Scott A. Harriman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qczsbke0w,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qczsbke0w/filings/d_01ksjrxcxaewavy3wjaxdngps9,,Mcea Campaign Finance,"April 28, 2026 - May 26, 2026",,,,$31.02,$675.00,$0.00,$0.00,$643.98,$0.00,
Scott A. Harriman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qczsbke0w,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qczsbke0w/filings/d_01kq84qdedf72bs9y56v61aywt,,Mcea Seed Money,"Unbounded - April 27, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$50.00
Nancy McDowell-Special,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmga8ym1fsnbevc5crxez0ks,24-Hour Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmga8ym1fsnbevc5crxez0ks/filings/d_01ksqm9vvbfb08vb9prt6dzqxx,,Twenty Four Hour,"May 27, 2026 - May 27, 2026",$0.00,$0.00,$0.00,"$3,000.00",,,,,,
Nancy McDowell-Special,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmga8ym1fsnbevc5crxez0ks,11-Day Pre-Election MCEA Report (2026 HD 29 Special Election),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmga8ym1fsnbevc5crxez0ks/filings/d_01ksqgzqq6f0v984942qz08311,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,"$3,750.82","$8,274.63",$0.00,$0.37,"$4,524.18",$0.00,
Nancy McDowell-Special,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmga8ym1fsnbevc5crxez0ks,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmga8ym1fsnbevc5crxez0ks/filings/d_01kpbn1qfaeteay8jrdfzd4d8y,,Mcea Seed Money,"January 01, 2026 - April 16, 2026","$1,000.00","$1,000.00",$0.00,$999.63,,,$0.00,$0.37,$0.00,$50.00
Abigail Geer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkemta5ceeet0vfqnzxf4tm6,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkemta5ceeet0vfqnzxf4tm6/filings/d_01ksacx4bwftyt3mmxdrnw33g1,,Mcea Seed Money,"January 01, 2026 - May 22, 2026",$990.00,$990.00,$0.00,$989.98,,,$0.00,$0.02,$35.00,$45.00
Jessica Blanchard,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knwjnbpgf30ak3nzejgvd3r1,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knwjnbpgf30ak3nzejgvd3r1/filings/d_01kstkdrhceezthvncmxx1xy0w,,Campaign Finance,"January 01, 2026 - May 26, 2026",$910.03,$910.03,$0.00,$236.06,,,$0.00,$673.97,$0.00,$260.03
Denise Tepler,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsb2b85fw,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsb2b85fw/filings/d_01ksnhdn85e0ztkxdte7yapk5x,,Mcea Campaign Finance,"April 15, 2026 - May 26, 2026",,,,"$1,521.58","$2,650.00",$0.00,$0.00,"$1,128.42",$0.00,
Denise Tepler,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsb2b85fw,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsb2b85fw/filings/d_01kp6pt5b2e1zv1q19ks3hjmpm,,Mcea Seed Money,"Unbounded - April 14, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,"$1,521.58",$225.00
Nathan Burnett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa3mq63v9,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa3mq63v9/filings/d_01ksk4a96qezza65xfedr47hhk,,Mcea Seed Money,"January 01, 2026 - May 26, 2026","$1,240.00","$1,240.00",$0.00,"$4,929.67",,,"$1,739.80",,$0.00,$35.00
Nathan Burnett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa3mq63v9,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa3mq63v9/filings/d_01ksk49c77ekdv80h2cykw639y,,Mcea Campaign Finance,"March 31, 2026 - May 26, 2026",,,,"$1,950.00","$2,649.87",$0.00,,,$0.00,
Nathan Burnett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa3mq63v9,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa3mq63v9/filings/d_01ksp1g07tekxb3qv8zzned24n,,Mcea Seed Money,"Unbounded - June 08, 2026","$3,000.00","$3,000.00",$0.00,"$4,949.87",,,$0.00,,$0.00,$35.00
Nathan Burnett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa3mq63v9,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qa3mq63v9/filings/d_01kf4f3w4re01aq3f5s5v0hvf4,,Campaign Finance,"September 25, 2025 - December 31, 2025","$1,760.00","$1,760.00",$0.00,$20.20,,,$0.00,"$1,739.80",$0.00,$0.00
Eleanor Sato,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcgp2gcfkcbj9xjddrw1gy0,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcgp2gcfkcbj9xjddrw1gy0/filings/d_01kst0s715ej7rpfse7dzz0xfa,,Mcea Campaign Finance,"April 10, 2026 - May 26, 2026",,,,"$9,652.24","$13,249.56",$0.00,$0.44,"$3,597.76",$0.00,
Eleanor Sato,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcgp2gcfkcbj9xjddrw1gy0,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcgp2gcfkcbj9xjddrw1gy0/filings/d_01kns6e5xkefnscm9ajpfdckh9,,Mcea Seed Money,"Unbounded - April 09, 2026","$3,000.00","$3,000.00",$0.00,"$2,999.56",,,$0.00,$0.44,$0.00,$0.00
Henry L Ingwersen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz/filings/d_01ksq4dawnej3vembbfzdzrq6v,,Mcea Campaign Finance,"April 11, 2026 - May 26, 2026",,,,"$1,070.71","$2,646.81",$0.00,$3.19,"$1,579.29",$0.00,
Henry L Ingwersen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz/filings/d_01knwbm3kpfwgbm0dzd5mt9bfd,,Mcea Seed Money,"January 01, 2026 - April 10, 2026",$200.00,$200.00,$0.00,"$2,946.81",,,"$2,750.00",$3.19,$0.00,$0.00
Henry L Ingwersen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz/filings/d_01knw5tda4ea9vswm55h6mcka5,,Mcea Seed Money,"January 01, 2026 - April 10, 2026",$200.00,$200.00,$0.00,"$2,946.81",,,"$2,750.00",$3.19,$0.00,$0.00
Henry L Ingwersen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgfz5ayyz/filings/d_01kf4f3w4qe2jtscj5r6s21cyx,,Campaign Finance,"August 27, 2025 - December 31, 2025","$2,750.00","$2,750.00",$0.00,$0.00,,,$0.00,"$2,750.00",$0.00,$550.00
Wyatt Beaulieu,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khpk9kb8fystaqb7yjan9802,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khpk9kb8fystaqb7yjan9802/filings/d_01ksqxc52gf3g9a3s73k4nyy4g,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$456.85,$675.00,$0.00,$0.00,$218.15,$0.00,
Wyatt Beaulieu,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khpk9kb8fystaqb7yjan9802,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khpk9kb8fystaqb7yjan9802/filings/d_01kprt7fnvfz6agndgr91cdy83,,Mcea Seed Money,"Unbounded - April 21, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Daniel Simonds,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn2940f1eecb81xcpeyj53wf,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn2940f1eecb81xcpeyj53wf/filings/d_01ksr31agneartse6jaeyzw7h5,,Mcea Seed Money,"Unbounded - May 28, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Peter Q. Jenks,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsnpxaas7,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsnpxaas7/filings/d_01ksr3gkhjfe4t2btwc6hh6xjp,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,"$1,006.35","$3,250.29",$0.00,$74.41,"$2,318.35",$0.00,
Peter Q. Jenks,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsnpxaas7,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsnpxaas7/filings/d_01kpbz6f6yfdw83w5vakdb9mk8,,Mcea Seed Money,"Unbounded - April 16, 2026","$1,000.00","$1,000.00",$0.00,$925.59,,,$0.00,$74.41,$0.00,$0.00
Bradley Youngs,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxf35wt3e,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxf35wt3e/filings/d_01ksjk6wavf8mrw7pta2005pyq,,Mcea Campaign Finance,"April 15, 2026 - May 26, 2026",,,,$639.50,$674.97,$0.00,$0.03,$35.69,$0.00,
Bradley Youngs,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxf35wt3e,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxf35wt3e/filings/d_01kp5zy1m8fpqvfdrpzrgyc3wp,,Mcea Seed Money,"Unbounded - April 14, 2026",$990.87,$990.00,$0.00,$990.84,,,$0.00,$0.03,$0.00,$0.00
Brianna Lueck,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp3fa4azfdm8rbczpey8gh6c,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp3fa4azfdm8rbczpey8gh6c/filings/d_01ksrk1ppher18ywq4h1ymh4n9,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$662.73,$0.00,$12.27,$675.00,$0.00,
Brianna Lueck,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp3fa4azfdm8rbczpey8gh6c,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp3fa4azfdm8rbczpey8gh6c/filings/d_01ks36868ef60aranrq11vmf1t,,Mcea Seed Money,"Unbounded - May 20, 2026","$1,000.00","$1,000.00",$0.00,$987.73,,,$0.00,$12.27,$0.00,$950.00
Dani O'Halloran,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyty4t5nc,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyty4t5nc/filings/d_01ksgt3yp3fdf892w3wwygz3x7,,Mcea Campaign Finance,"April 16, 2026 - May 26, 2026",,,,$0.00,$672.00,$0.00,$3.00,$675.00,$0.00,
Dani O'Halloran,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyty4t5nc,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyty4t5nc/filings/d_01knkqphqrev6rhdwv2xafmdfa,,Mcea Seed Money,"Unbounded - April 15, 2026","$1,000.00","$1,000.00",$0.00,$997.00,,,$0.00,$3.00,$0.00,$0.00
Alan Lee Orcutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvjnqyhb2,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvjnqyhb2/filings/d_01ksr4h193e8bbhgta7wcemydf,,Mcea Campaign Finance,"April 16, 2026 - May 26, 2026",,,,$30.00,$675.00,$0.00,$0.00,$645.00,$0.00,
Alan Lee Orcutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvjnqyhb2,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvjnqyhb2/filings/d_01kp92s054enx92rw7wp0528mt,,Mcea Seed Money,"Unbounded - April 15, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$50.00
Keith Newman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knhetv5hetgtknce4rt0pd97,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knhetv5hetgtknce4rt0pd97/filings/d_01kt26cmk8fv68zt3x72kc9jtq,,Campaign Finance,"January 01, 2026 - May 26, 2026",$100.00,$100.00,$0.00,$0.00,,,$0.00,$100.00,$0.00,$0.00
Traci Gere,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806hc84qnt,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806hc84qnt/filings/d_01ksqht9mgeb8sesn0e3xgxdtw,,Mcea Campaign Finance,"April 18, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Traci Gere,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806hc84qnt,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806hc84qnt/filings/d_01kpegq82rfy3bmdkkfm8rs9kn,,Mcea Seed Money,"Unbounded - April 17, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
